Page,MANUFACTURER_AND_DISTRIBUTOR,Date_Released,Date_Available,NAME_OF_DEVICE,DESCRIPTION,MATERIALS,GENERAL_USE,SPECIFIC_INDICATIONS,SPECIFIC_FEATURES,SIZES_AVAILABLE,INSTRUMENTATION,SPECIAL_REMARKS,REFERENCES_,SPECIAL_FEATURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,HOWMEDICA INC.,, 1995 (outside U.S.); 1997 (U.S.),Duracon® Uni-Compartmental Knee,"For replacement of a diseased femorotibial compartment, thus preserving undiseased femorotibial and patellofemoral compartments, as well as both cruciate ligaments",Vitallium® alloy. Standard UHMWPE,Unicompartmental knee replacements,Cemented applications,"Femoral component fully caps the posterior condyle  One small and one larger fixation peg, with annular ring cutouts   Waffled fixation surface   All-polyethylene tibial component has an anterior peg and multiple cutouts for rotational fixation   Tantalum beads allow for detection in X-rays and as markers for RSA","Femoral component 5 sizes for right lateral/left medial; 5 sizes for left lateral /right medial  Tibial component 5 sizes for right lateral/left medial; 5 sizes for left lateral/right medial  Each size is Available in 5 lengths, ranging from 8mm to 16mm in 2mm increments",Monogram® instrument system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,HOWMEDICA INC.,," June, 1988      Total KNEE PROSTHESES  Femoral/Tibial",Kinemax® Plus Total Knee System,"A comprehensive system that features Primary Condylar and Stabilizer and Revision Stabilizer options. An array of modular augments ?? stem extenders, spacers, and wedges ??address particular bone loss situations. Primary components are Available in PCL-preserving and PCL-substituting components",Vitallium® alloy. Standard and Duration® Stabilized UHMWPE,Primary and revision cemented total knee arthroplasty,Cemented applications,Femerotibial articular geometry allows for high conformity without added constraint   The excellent patellofemoral design has demonstrated a very low complication rate in long- term clinical studies   Posterior Stabilizer components feature a unique cam action that allows constant contact between the femoral component and tibial post,A full range of sizes from X-small to XX-large,Monogram® knee instruments,"Two independent 8-year clinical studies demonstrate no component loosening, no revisions due to polyethylene wear and a very low patellar complication rate","Harwin, S.k Patellar Complications in Symmetrical Total Knee Arthroplasty, Scientific Presentation, 3rd Congress of the European Federation of National Association of Orthopaedics and Traumatology (EFORT), Barcelona, Spain, April, 1997.   Ewald, EC., Boston Experience with the Kinematic/Kinemax Total Knee Systems, Killarney Total Knee Symposium, Killarney, Ireland, June, 1996.  40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,IMPLEX® CORP.,,1989,Continuum® Knee System,Tibial components,Ti-6Al-4V,Primary cruciate retaining and PCL substitution  Revision,,Symmetrical design Stemmed and keeled design Modular tibial components with stem extension and bone augmentation blocks  For cemented use only,"(sizes  A/P 41,45, 48, 51, 54 and 57mm M/L 62, 65,71, 77, 83 and 89mm","The Continuum® knee instruments are simple, *asy to use and well-organized in 3 cases. All sizing instruments and packaging are color-coded for quick and easy sizing identification",The Continuum® knee system has been used clinically since 1987 and its kinematics continue to remain unchanged. This successful clinical performance is indicative of the *fficacy of its design principles,"Petersilge, WJ., Oishi, L.S., Kaufman, K.R., Irby, S.E. and Colwell, CW. The Effects of Trochlear Design and Patello Femoral Shear and Compressive Forces in Total Knee Arthroplasty, Corr., Vol. 309 pp. 124-130, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,IMPLEX® CORP.,," 1989; Porous version,1993",Continuum® Knee System,Femoral components,Cobalt-chrome alloy,Primary cruciate retaining and PCL substitution  Revision,,Symmetrical trochlear groove   Non-porous and porous surfaces are Available for cemented use,"6 sizes A/P 54, 57, 60, 64, 68 and 72mm M/L 60, 63, 66, 68, 70 and 76mm","The Continuum® knee instruments are simple, *asy -to-use and well-organized in 3 cases. All sizing instruments and packaging are color-coded for quick and easy sizing identification",The Continuum® knee system has been used clinically since 1987 and its kinematics continue to remain unchanged. This successful clinical performance is indicative of the efficacy of its design principles,"Petersilge, WJ., Oishi, L.S., Kaufman, K.R,, Irby, S.E. and Colwell, C.W. The Effects of Trochlear Design and Patello Femoral Shear and Compressive Forces in Total Knee Arthroplasty, Corr., Vol. 309 pp. 124-130, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,IMPLEX® CORP.,," 1984; Hedrocel, 1997",Continuum® Knee System,Patellar components,UHMWPE  Hedrocel®/ UHMWPE,Primary cruciate retaining and PCL substitution  Revision,,Direct compression molded UHMWPE into the Hedrocel®  Dome geometry that matches the articular profile of the trochlear groove to maintain congruent contact through complete range-of-motion,"4 sizes 33, 36, 39 and 42mm diameter 10mm thick","The Continuum® knee instruments are simple, easy-to-use and well organized in 3 cases. All sizing instruments and packaging are color-coded for quick and easy sizing identification",The Continuum® knee system has been used clinically since 1987 and its kinematics continue to remain unchanged. This successful clinical performance is indicative of the *fficacy of its design principles,"Petersilge, W.J., Oishi, L.S., Kaufman, K.R., Irby, S.E. and Colwell, CW. The Effects of Trochlear Design and Patello Femoral Shear and Compressive Forces in Total Knee Arthroplasty, Corr., Vol. 309 pp. 124-130, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1996",,PEC.® Sigma Knee Cruciate Retaining Femoral Component,,Cobalt chrome alloy,Primary TKR,Cemented and non-cemented applications,,"1.5,2,25,3, 4,5 and 6mm lefts and rights",Specialist® 1 or 2 instruments,All femoral components have same rounded condylar design in the coronal geometry   All femoral components have same sagittal geometry as clinically successful PFC knee  Asymmetrical configuration on all femoral components to optimally cap the anatomy and better patella tracking,"Martin, S.D., McManus, J.L., Scott, R. D. and Thornhill, T.S. Press-Fit Condylar Total Knee Arthroplasty; 5 to 9 Year Follow-Up Evaluation, Journal of Arthroplasty, Vol. 12 pp. 603-614, 1997.",Porous and non-porous sintered beads with cement pockets for optimal cement mantle   Deep extended patella-femoral groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1997",,PEC.® Sigma Knee Cruciate Substituting Femoral Component   TC-3 Femoral Component,,Cobalt chrome alloy,Primary and revision TKR,TC-3 for use when collateral ligaments are deficient or absent,,"Cruciate substituting 1.5, 2, 2.5, 3, 4, 5, 6mm lefts and rights  TC-3 All sizes except 6mm lefts and rights",Specialist® 2 instruments,TC-3 Stem extension should be used to enhance stability  Deep extended patella femoral groove  Asymmetrical configuration to optimize capping of anatomy and better patella tracking Patented cam and spine mechanisms to minimize subluxation,"Martin, S.D., McManus, J.L., Scott, R. D. and Thornhill, T.S. Press-Fit Condylar Total Knee Arthroplasty; 5 to 9 Year Follow-Up Evaluation, Journal of Arthroplasty, Vol. 12 pp. 603-614, 1997.",Same rounded coronal geometry in all femoral component for maximum contact area Same sagittal geometry as PFC knee  Accepts femoral augmentation and stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1997",,PEC.® Sigma Knee Femoral Augmentation,"Distal and posterior augments, combination","Cast cobalt chrome alloy, ASTM F-75 Expansion collateral and screws ASTM F-90 and ASTM F-799, respectively",Primary and revision TKR,Address femoral bony deficiencies for re-establishing natural joint-line and equal flexion and extension gaps,,"Sizes 1.5,2,2.5,3,4,5 Distal 4, 8, 12, 16mm; lefts and rights  Posterior 4 & 8mm  Combination 4, 8, 12, 16mm; lefts and rights",Specialist® 2 torque driver-audible ?�click??for secure attachment Full trial system with all sizes and thickness for proper fit,Augment components which have been expanded and removed must not be reattached  Deep extended patella femoral groove   Asymmetrical configuration to optimize capping of anatomy and better patella tracking  Patented cam and spine mechanisms to minimize subluxation,"Martin, S.D., McManus, J.L., Scott, R. D. and Thornhill, T.S. Press-Fit Condylar Total Knee Arthroplasty; 5 to 9 Year Follow-Up Evaluation, Journal of Arthroplasty, Vol. 12 pp. 603-614, 1997.  146",Expansion collet and screw used to securely attach augments  Designed to use with Sigma C.S. and Sigma TC-3 femoral components   Disposable 2.5mm torque driver tip included  Expansion screw forces collet to expand within cavity for consistently secure fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1997",,"PFC® Sigma Knee Femoral Stem Extensions, Cemented",5 degrees and 7 degrees,Machined titanium Ti-6Al-4V alloy and F-136  Stem collars ??cobalt chrome alloy F-799 Stem bolts ??wrought cobalt chrome alloy F-799,Primary and revision,,,(5° and 7°) = 8 total stems  13mm x 90mm  15mm x 90mm  13mm x 130mm  15mm x 130mm,Specialist® 2 instruments,"2 bolts used for left/right femoral components  1 bolt for non-offset 1 bolt for +2, -2 offset positions  Bolt defines possible A/P positions of stem relative to femoral component","Martin, S.D., McManus, J.L., Scott, R. D. and Thornhill, T.S. Press-Fit Condylar Total Knee Arthroplasty; 5 to 9 Year Follow-Up Evaluation, Journal of Arthroplasty, Vol. 12 pp. 603-614, 1997.","High resistance to torsional and bending moments  Smoothly rounded, without sharp edges that could cause stress risers in cement  Designed for assembly with all Sigma stabilized and TC-3 femoral components  Spiralock® threads-self-locking benefit for security",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1997",,PFC® Sigma Knee Femoral Fluted Rod Extension,5 degrees and 7 degrees,Machined titanium Ti-6Al-4V alloy and F-136 Stem collars ??cobalt chrome alloy F-799 Stem bolts ??wrought cobalt chrome alloy F-799,Primary and revision,,,"(5 and 7°) = 32 total stems  125 and 175mm length 10, 12, 14, 16, 18, 20, 22, 24mm diameter",Specialist® 2 instruments Yah,"2 bolts used for left/right femoral components  1 bolt for non-offset  1 bolt for +2, -2 offset positions   Bolt defines possible A/P positions to stem relative to femoral component","Martin, S.D., McManus, J.L., Scott, R. D. and Thornhill, T.S. Press-Fit Condylar Total Knee Arthroplasty; 5 to 9 Year Follow-Up Evaluation, Journal of Arthroplasty Vol. 12 pp. 603-614, 1997.  148",High resistance to torsional and bending moments  Flutes provide aggressive stable fit with axial loading of distal femur   Designed for assembly with all Sigma stabilized and TC-3 femoral components   Spiralock® threads-self-locking benefit for security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1998",,PEC® Sigma Inset Patellar Prosthesis,,UHMWPE  Calcium stereate free 402 UHMWPE  Vacuum packaged foil pouch,Primary,,,"25mm, 28mm, 32mm",Specialist® 2 instruments ??Sigma inset,,,Compatible with all Sigma femoral components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,JOHNSON & JOHNSON ORTHOPAEDICS,1992,,Universal Inset Patella,,UHMWPE,Primary,,,"25mm, 28mm, 32mm",Inset patella instruments              30,,,Mates with all PFC® Sigma femoral components and older-style PFC® femoral components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,JOHNSON & JOHNSON ORTHOPAEDICS,1989,,PEC.® Sigma Knee Modular Plus Tibial Tray,,Ti-6Al-4V Alloy Distal stem plug-UHMWPE,Primary and revision,,,"15 2,25,3,4,5",Specialist® lor 2 instruments,Medial/lateral and posterior fins to resist rotational forces  Symmetrical plateau ??optimal coverage and load transfer   Insert containment rim ??for enhanced tray strength and capturing of polyethylene  Polyethylene plugs to prevent cement intrusion if wedges not used     / A  SAN  | 1 5 x Vi  SS,,Accepts mechanically attached wedges  Accepts cemented and fluted stems   Insert snap mechanism ??assures insert/tray attachment integrity   Distal cement pockets ??enhanced pressurization of cement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,JOHNSON & JOHNSON ORTHOPAEDICS,1984,,"PEC.® Sigma Knee Modular Tibial Tray "" Alternate Size Modular Tibial Tray",,Ti-6Al-4V Alloy |  Distal stem plug-UHMWPE  Total KNEE PROSTHESES Tibial Components,Primary and revision,,,"Modular 2,2.5/3n,3,4,5  Alternate size 3/2 accepts size 2 insert 4/3 accepts size 3 insert 5/4 accepts size 4 insert 6/5 accepts size 5 insert",Specialist® lor 2 instruments,Medial/lateral and posterior fins to resist rotational forces and A/P racking   Symmetrical plateau ??optimal coverage and load transfer      Insert containment rim ??for enhanced tray strength and capturing of polyethylene,,Cemented wedge capability  Porous and non-porous   Insert snap mechanism-assures insert/tray attachment integrity   Distal cement pockets?�enhanced pressurization of cement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,JOHNSON & JOHNSON ORTHOPAEDICS,1984,,PEC.® Sigma Knee Standard Tibial Tray,,Ti-6Al-4V alloy,Primary,Accepts PFC® Sigma tibial inserts  Cemented and non-cemented applications,,"15 2,25,3,4,5,6",Specialist® 1 or 2 instruments,Distal cement pockets   Symmetrical plateau ??optimal coverage and load transfer  Insert containment rim - for enhanced tray strength and capturing of polyethylene   Insert snap mechanical ??assures insert/tray attachment integrity,"Martin, S.D., McManus, J.L., Scott, R. D. and Thornhill, T.S. Press-Fit Condylar Total Knee Arthroplasty; 5 to 9 Year Follow-Up Evaluation, Journal of Arthroplasty, Vol. 12 pp. 603-614, 1997.",Porous and non-porous-Ti6A1-4V beads  Fins to resist medial/lateral rotational forces and A/P translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1996",,"PEC.® Sigma Knee Cruciate Retaining Tibial Inserts ??Posterior Lipped, Curved",,UHMWPE - GUR402 grade   Vacuum packaged in an impermeable foil pouch   Gamma irradiated calcium stearate-free polyethylene,Primary,,,"15 2,25,3,4,5,6  Thicknesses in all sizes 8, 10, 12.5, 15, 17.5, and 20mm",Specialist® 1 or 2 instruments,"All Sigma inserts utilize snap fit mechanism with all PFC® tibial trays   A femoral component can articulate with the same size tibial insert one size higher, and one size lower  154",,Posterior lipped ??minimal constraint in A/P direction maximum rollback  Curved topographics ??additional stability in A/P plane  All inserts offer a minimum 6mm *ffective articulating polyethylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1997",,PFC® Sigma Knee Cruciate Substituting Tibial Insert Components,Stabilized Stabilized plus TC-3,UHMWPE - GUR402 grade  Vacuum packaged in an impermeable foil pouch  Gamma irradiated calcium stearate free polyethylene,Primary and revision,,,"Stabilized and stabilized plus 1.5, 2, 2.5, 3,4, 5,6 Thicknesses 8, 10, 12.5, 15, 17.5, 20, 22.5, 25mm  TC-3 (No size 6 Available) Thickness 10, 12.5, 15, 17.5, 20, 22.5, 25, 30mm",Specialist® 1 or 2 instruments,All Sigma inserts utilize snap fit mechanism with all PFC® tibial trays Stabilized lift-off value = 16.3mm; spine height = 19mm Stabilized Plus = same w/metal reinforcing pin for increased stabilization of insert TC-3 = 20.3mm; spine height = 23mm,,Central spine placed in center of insert   Spine designed to allow cam to engage at 80° flexion and produce rollback of the femur  Titanium reinforcing pin on stabilized plus and TC-3 for strength and to resist high loads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,JOHNSON & JOHNSON ORTHOPAEDICS," February, 1996",,PEC.® Sigma All-Polyethylene Tibial Component,Cruciate retaining ??post lip and CVD Cruciate substituting ??P/S,UHMWPE ?? GUR402 grade  Vacuum packaged in an impermeable foil pouch  Gamma irradiated calcium stearate free polyethylene,Primary,,,"152,25 3,4,5,6 Thicknesses 8, 10, 12.5, 15mm",Specific instruments which provide for a 2mm cement mantle,Same keel design PFC® modular tray,,Posterior lipped-minimal constraint/curved   Central spine on P/S designed to allow cam to engage at 80° flexion and produce rollback of femoral component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,JOHNSON & JOHNSON ORTHOPAEDICS," August, 1989",,PFC® Knee Tibial Stem Extensions,Cemented and fluted,Machined titanium Ti-6Al-4V alloy and F-136,Primary and revision,,,"13mm sizes 1.5, 2, 2.5, 3 15mm sizes 4, 5, 6 Cemented 13mm x 90mm 15mm x 90mm 13mm x 130mm 15mm x 130mm Fluted Rods 75, 115, 150mm length 10, 12, 14, 16, 18, 20, 22, 24mm diameter",Specialist® 1 or 2 instruments,Stem is extension of tray which has 3° posterior slope,,Stems attach directly to keel of modular tibial tray   Stems secured via Spiralock® threads   Any fluted stem can be used with any modular tray   Cemented stem diameter is defined by the size of the tray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,JOHNSON & JOHNSON ORTHOPAEDICS," January, 1993",,PEC.® Sigma Modular Plus Tibial Wedges,"Stepped, hemi- and full-wedge configurations",Cast cobalt chrome alloy ASTMEF-75  Modular plus tibial wedge attachment screws ??ASTM F-90,Primary and revision,Address tibial bony deficiencies,,"® 15,2,25,3,4,5,6 Hemi 10° and 20° Step 10??and 15° Full 10° and 15°",Specialist® 2 torque driver-audible ?�click??upon reaching proven torque limit,Posterior recessed waffle patterns for cement interdigitation to enhance fixation   Identical distal and proximal surfaces allow wedges to be reversible minimizing inventory requirements while assuring proper fit,,Wedges are attached to a modular plus tibial tray of corresponding size by attachment screws and single 2.5 mm driver  4 spherical radius screwholes to facilitate attachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,JOHNSON & JOHNSON ORTHOPAEDICS,1987,,PFC® Cemented Tibial Wedges,Hemi and quadrant geometries,Cast cobalt chrome alloy ASTMF-75,Primary and revision,Address tibial bony deficiencies,,"Hemi 10° sizes 2,2.5,3,4,5 15° sizes 2,2.5,3,4,5,6 Quadrant 10° sizes 2, 2.5,3,4,5,6 15° sizes 2,2.5,3,4,5,6",Specialist® 1 or 2 instruments and cementing clamp,Hemi-cemented wedges are component specific ??right medial/left lateral or left medial/right lateral component,,Waffle pattern to enhance cement interdigitation and fixation to proximal tibia   Wedges cemented to distal surface of either non-porous PFC® keel tray or non-porous modular tray in the medial or lateral components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,JOHNSON & JOHNSON ORTHOPAEDICS," June, 1996",,PFC® Sigma Knee Uni-Compartmental Femoral Component,,Cobalt chrome alloy,Primary uni-compartmental,Hemiarthroplasty,,"23,456",Primary Specialist® unicondylar instruments,Designed from both PFC® and Robert Brigham uni-condylar designs,,Precise alignment Gently rounded coronal geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,JOHNSON & JOHNSON ORTHOPAEDICS," June, 1996",,PFC® Sigma Knee Uni-compartmental Tibial Insert All UHMWPE Tibial Component,,UHMWPE - GUR402 grade Vacuum packaged in an impermeable foil pouch Gamma irradiated calcium stearate free polyethylene,Primary hemiarthroplasty,,,"Insert Sizes 2,2.5,3,4,5,6 Thicknesses 10, 12.5, 15mm  All UHMWPE component Thickness 8, 10, 12.5, 15mm  rT?�——————A I 3 EE ETT s Hk as a FE 1 RIN,",Specialist® 1 instruments,o All Sigma inserts are snap-fit into the PFC® tibial trays,,"Insert snap-fit design to assure attachment integrity  Rounded conforming coronal shape for maximum conformity, as well as forgiveness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,JOHNSON & JOHNSON ORTHOPAEDICS," June, 1996",,PEC.® Sigma Knee Uni- compartmental Tibial Tray,,Ti-6Al-4V alloy,Primary,Hemi-arthroplasty,,23456,Specialist® unicondylar instruments,Distal cement pockets  Insert containment rim ??enhanced tray strength and capturing of polyethylene   Insert snap mechanism ??assures insert tray attachment integrity  162,,Sizes are designated ??right medial/left lateral or left medial/right lateral component,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,JOHNSON & JOHNSON ORTHOPAEDICS, 1984/1989 BS.,,PFC® Modular Knee Femoral Components,Cruciate retaining  Cruciate substituting  TC-3,Cobalt chrome alloy,Primary and revision,Cruciate retaining cemented and non-cemented Cruciate substituting and TC-3 only cemented,,"2,3,3N,4,5,6 TC-3 2,3,4,5 Cruciate retaining ??left and right Cruciate substituting and TC-3 ??symmetrical",Specialist® 1 Instruments,Cruciate substituting and TC-3 accept femoral augments and stems ??femur must match same size tibial insert  Cruciate retaining ability to up and down size by one size with insert,,Cement pockets for optimal cement mantle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,JOHNSON & JOHNSON ORTHOPAEDICS,,,PFC® Modular Knee ??Femoral Stems,Femoral augmentation Stem extension,Ti-6Al-4V alloy Stem bolts ??wrought cobalt chrome alloy,Primary and revision,,,"Femoral augments Sizes 2,3,4,5,6 Distal posterior or combo Thicknesses 4, 6, 8mm  Femoral cemented stems 13mm and 15mm Left and right 5°, 7°and 9° Length 90, 130mm Fluted rods Diameters 10, 12, 14, 16, 18, 20, 22mm Left and right Length 125mm and 175mm",Specialist® 1 instruments,Spiralock® threads on stems  Femoral augment are snap fit into femoral components,,Any size-specific augment or stem attaches to PFC® cruciate substituting or TC-3 femoral component  Offset bolt for stems to adjust correct position of stem in canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,JOHNSON & JOHNSON ORTHOPAEDICS,1984,,PEC.® Modular Knee Patella Components,Cruciate retaining ??oval patella/sombrero articulating surface  Cruciate substituting single-post and 3-post round dome,ce UHMWPE,Primary and revision,,,Cruciate retaining 32mm extra small 35mm small 38mm standard 41mm large  Cruciate substituting 28mm extra small 32mm small 35mm standard 38mm large 41mm x-large,Specialist® 1 instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,JOHNSON & JOHNSON ORTHOPAEDICS,1984,,PEC® Modular Knee Tibial Inserts,?��?  Cruciate retaining Posterior lipped Curved   Cruciate substituting Stabilized Constrained  TC-3   TC-s insert,*s UHMWPE,Primary and revision,,,"i????  Cruciate retaining 1,2,3,4,5,6  Cruciate substituting 2,3,3N,4,5,6  TC-3 2,3,4,5  Thicknesses 8, 10, 12.5, 15, 17.5, 20mm  Size 1 only up to 15mm  Size 2 only up to 17.5mm",Specialist® 1 instruments,All inserts are snapped into PFC® tibial trays,,Constrained and TC-3 include metal % post in insert for added stability \ a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"SMITH & NEPHEW, INC.",1996,,Genesis® II Total Knee System,Porous and non-porous surfaces Cruciate retaining  Posterior stabilized  Constrained  Revision,Cobalt chrome alloy  Titanium  All-poly ??polyethylene ??EtO sterilized,Primary and revision  Intended for cemented application,,,,,,,"Unique femoral design incorporates built-in *xternal rotation and a lateralized patella groove for optimized patella tracking  Tibial component asymmetrically shaped to improve tibial coverage; medially offset and posteriorly angled tibial post; polished proximal surface to reduce chances of undersurface wear   Patellar components Available in inset and onset designs; reaming guides for both styles preserve cortical bone and decrease incidence of patella tilt  Tibial inserts Available in cruciate retaining, deep dished and posterior stabilized. Thicker polyethylene, increased contact area and decreased contact stress  Wedges are fully instrumental; stems Available in slotted and non-slotted versions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"SMITH & NEPHEW, INC.",,,,,,,,,"Femoral component Sizes 1-8 left and right ML 55-80 / AP 47-75 Tibial component Sizes 1-8 ML 60-85 / AP 45-59 4 screws; 3° stem angle 3° posterior slope of tibial cut  Patellar component Biconvex 23, 26, 29, 32mm; thickness 13mm Resurfacing 26, 29, 32, 35mm; thickness 9mm 13mm including peg height Patella with flex lock peg 23, 26, 29, 32mm; thickness 15mm Revision biconvex 29, 32, 35mm; thickness 17mm Tibial inserts C/R thickness 9-18mm Dished thickness 9-21 mm P/S - constrained thickness 9-30mm Minimum thickness of thinnest insert-6.7mm  Revision options Femoral module sizes 1-8mm Femoral wedges sizes 1-8, 5 and 10 mm Tibial wedges sizes 1-8, 20 and 30° Hemi sizes 1-8, 7° full plateau Long stems 100, 150 and 200mm length 10, 12, 14, 16, 18, 20, 22, and 24mm diameter",Femoral ??anterior and posterior referencing  Tibial ??intramedullary and extramedullary  Revision ??intramedullary; based off of trial stems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"SMITH & NEPHEW, INC.",1995,,Profix® Total Knee System,Porous and non-porous   Primary   Posterior stabilized   Constrained (Available 1998) Revision,Cobalt chrome alloy Titanium All-poly - polyethylene ??EtO sterilized,Primary and revision Intended for cemented application,,,,,,,"Femoral component ??designed to reduce poly wear; rounded condylar shape for large contact area; deepened patellar groove; short, rounded posterior condyles for enhanced ROM  Tibial component ??polished proximal tibia for reduction of possible undersurface wear; multiple stem configurations  Tibial inserts ??two conformity levels for desired stability. Axis of rotation *xternally rotated to base to improve tracking without sacrificing tibial coverage.  Revision options ??all femoral cuts made through one cutting block  Patellar components ??single radius dome shape increases contact area and reduces contact stress; inset provides periphery of bone for stability",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"SMITH & NEPHEW, INC.",,,,,,,,,"Femoral component Sizes 1-7 left and right ML 60-83 / AP 48-73   Tibial component Sizes 1-7 ML 61-85 / AP 42-58 4 stem options Metaphyseal, keel, I-beam, long stem   Porous and non-porous femoral wedges Sizes 1-7, Small and large   Non-porous tibial step wedges Sizes 1-6 ML 5 and 10mm   Patellar component Inset 23, 26, 29mm; Thickness 11, 12, 14mm Onset 29, 32, 35, 39mm; Thickness 8.5,9.2,9.6, 10mm  Tibial inserts Thickness 10-35mm Minimum thickness of thinnest insert ??7mm",Femoral ??anterior and posterior referencing  Tibial - intramedullary and extramedullary  Revision ??intramedullary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ZIMMER,,1995,NexGen Knee/Legacy Posterior Stabilizer Implants,All femoral components are narrower in AP dimension from other NexGen femoral components,Cobalt chrome (Zimaloy) alloy,Cruciate sacrificing arthroplasty,Narrower AP-femoral condylar dimensions,,Eight femoral sizes in rights and lefts with AP dimensions from 45.5 to 76.0 mm,Special instrumentation Available,LPS femoral component requires LPS size matched UHMWPE tibial inserts,,Each femoral component is 4 mm narrower in AP dimension than other NexGen posterior cruciate sacrificing femoral components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,ZIMMER,,1995,NexGen/Legacy Constrained Condylar Knee Implants,The LCCK interface design provides for AP + varus-valgus stability,Cobalt chrome (Zimaloy) alloy and titanium alloy,Multiplane instability,Anterior-posterior and varus-valgus instability,,Five femoral sizes in rights and lefts with AP dimensions from 53.5 to 70.5 mm,Special instrumentation for cutting intercondylar notch Available,Must match femoral implant size with LCCK articular UHMWPE inserts (eight sizes with thicknesses from 10-33 mm),,Femoral component accepts variety of threaded stem additions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,ZIMMER,1995,1995,NexGen Complete Knee Solution,,UHMWPE,Cruciate sacrificing interface designs,,,Four different AP tibial insert sizes with six different thicknesses from 10 to 23 mm,,,,Exchangeable modular posterior cruciate sacrificing poly inserts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,ZIMMER,,1995,NexGen Complete Knee Solution,A modular posterior cruciate sacrificing knee,"Cobalt chrome (Zimaloy) alloy, titanium alloy  UHMWPE and PMMA",Cementable and cementless applications,,,Eight femoral sizes in rights and lefts with AP dimensions of 45.5 to 76.0 mm  Ten tibial tray sizes with AP dimensions of 40 to 57 mm,Special instrumentation Available,Tibial trays accept modular full 7° and half 16° and 26° wedges,,"Cobalt chrome femoral components and titanium tibial trays Available in three fixation choices porous beaded, pre-coat and uncoated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
